subject_code,section,course_title,units,time,room,instructor,max_no,lang,level,free_slots,remarks,s,p
BIO100.01,A,GENERAL ZOOLOGY| LECTURE,3,D 0930-1100,TBA,DE GUZMAN| Ivan Adrian,25,ENG,U,-2,-,N,N
BIO100.02,X2,GENERAL ZOOLOGY| LABORATORY,2,M-W-F 1300-1700,TBA,DE GUZMAN| Ivan Adrian,30,ENG,U,-2,-,N,N
BIO100.02,X1,GENERAL ZOOLOGY| LABORATORY,2,M-W-F 1300-1700,TBA,JOSON| PAULO RAFAEL S.,30,ENG,U,-1,-,N,N
BIO100.02,Y2,GENERAL ZOOLOGY| LABORATORY,2,M-W-F 1300-1700,TBA,DE LEON| JEMILLIE MADONNA S.,25,ENG,U,0,-,N,N
BIO100.02,Y1,GENERAL ZOOLOGY| LABORATORY,2,M-W-F 1300-1700,TBA,TANIEGRA| ROMMEL M.,25,ENG,U,6,-,N,N
BIO100.02,X6,GENERAL ZOOLOGY| LABORATORY,2,M-W-F 0800-1200,TBA,DE LEON| JEMILLIE MADONNA S.,30,ENG,U,0,-,N,N
BIO100.02,X5,GENERAL ZOOLOGY| LABORATORY,2,T-TH 1200-1800,TBA,JOSON| PAULO RAFAEL S.,30,ENG,U,3,-,N,N
BIO100.02,X4,GENERAL ZOOLOGY| LABORATORY,2,M-W-F 1300-1700,TBA,MANALOTO| NINEZ BERNARDINE L.,30,ENG,U,-1,-,N,N
BIO100.02,X3,GENERAL ZOOLOGY| LABORATORY,2,M-W-F 0800-1200,TBA,TANIEGRA| ROMMEL M.,30,ENG,U,20,-,N,N
BIO12.01,A,BIOTECHNOLOGY FOR EVERYONE| LECTURE,3,D 0930-1100,TBA,GERONIMO| Ralph Allen,25,ENG,U,7,-,N,N
BIO130.01,C,GENETICS| LECTURE,3,D 1400-1530,TBA,PANES| VIVIAN A.,30,ENG,U,21,-,N,N
BIO130.01,D,GENETICS| LECTURE,3,D 0930-1100,TBA,BAGONOC| REJ B.,35,ENG,U,-7,-,N,N
BIO130.01,E,GENETICS| LECTURE,3,D 1530-1700,TBA,BAGONOC| REJ B.,35,ENG,U,5,-,N,N
BIO130.01,A,GENETICS| LECTURE,3,D 0800-0930,TBA,PANES| VIVIAN A.,30,ENG,U,-5,-,N,N
BIO130.01,B,GENETICS| LECTURE,3,D 1100-1230,TBA,PANES| VIVIAN A.,30,ENG,U,-2,-,N,N
BIO140.01,A,CELL AND MOLECULAR BIOLOGY| LECTURE,3,D 0930-1100,TBA,CONSTANTINO| MARIA KATRINA C.,35,ENG,U,-1,-,N,N
BIO140.02,A,CELL AND MOLECULAR BIOLOGY| LABORATORY,2,T-TH 1200-1800,TBA,CONSTANTINO| MARIA KATRINA C.,25,ENG,U,17,-,N,N
BIO140.02,B,CELL AND MOLECULAR BIOLOGY| LABORATORY,2,M-W-F 1300-1700,TBA,CONSTANTINO| MARIA KATRINA C.,25,ENG,U,6,-,N,N
BIO143.01,A,BIOTECHNOLOGY| LECTURE,3,D 0930-1100,TBA,GAMBE-GILBUENA| ARNI E.,35,ENG,U,0,-,N,N
BIO143.02,A,BIOTECHNOLOGY| LABORATORY,2,M-W-F 1300-1700,TBA,GAMBE-GILBUENA| ARNI E.,20,ENG,U,16,-,N,N
